id,source_file,type,hebrew_text,english_translation,subject,restored_bw,colorized,transcription_confidence,notes,restored_clear,has_people
RUH-01,WhatsApp Image 2026-08-09 at 06.18.51.jpeg,caption,"""...כדי לגלות את נשק המגן תצטרכו לחרוש את כל אדמות ארץ ישראל"" (פרופ' חיים ויצמן)","""...to find the defence weapons you would have to plough every acre of the Land of Israel"" (Prof. Chaim Weizmann)",Opening quotation panel of the exhibition,,,high,Attributed on the board to Weizmann; wording not yet traced to a published source.,,
RUH-02,WhatsApp Image 2026-08-09 at 06.18.53 (1).jpeg,clipping-headline,"""מעשה רוחמה ודורות – התגרות"" / שביתת חירום בעיתונים המצולמים – מעשי ההרס בשני הישובים נמשכים","""The Ruhama and Dorot affair - a provocation"" / the destruction in both settlements continues",Hebrew press headline strip,,,medium,Sub-headline partly illegible at this resolution.,,
RUH-03,WhatsApp Image 2026-08-09 at 06.18.53 (2).jpeg,caption,"3 יחידות צבא אנגליה – הדיביזיה השישית המוטסת, המכונה בארץ ""הכלניות"" – שהשתתפו במצור על הקיבוץ. [68 | 941 | 67]","Three British Army units - the 6th Airborne Division, known locally as ""the Anemones"" - took part in the siege of the kibbutz. [unit numbers 68, 941, 67]",Order of battle panel with three unit insignia drawn as triangles,,,high,"""Anemones"" = red berets. The three numbers are drawn inside triangular formation signs.",,
RUH-04,WhatsApp Image 2026-08-09 at 06.18.53 (3).jpeg,clipping-headline,חיל כבד שם מצור על המשקים רוחמה ודורות / רשמית: הפעולות מכוונות לחיפוש נשק,Heavy force lays siege to the farms Ruhama and Dorot / Officially: the operations are aimed at searching for arms,Front-page headline,,,high,,,
RUH-05,WhatsApp Image 2026-08-09 at 06.18.53 (4).jpeg,board-overview,"גזרי עיתונים: ""משמר"" / ""דבר"" / ""הדאר"" (?) + כרטיס: רדיו ירושלים, 28.8.1946 + ""הדים: ...רוחמה ודורות בנגב השומם נשלט בידי צבא בריטי מצויד בנשק רב – משוריינים, מוקשים וכו'""","Newspaper clippings plus a card citing Radio Jerusalem, 28.8.1946, and an ""Echoes"" card: ""...Ruhama and Dorot in the desolate Negev are controlled by a British army equipped with heavy weapons - armour, mines and so on""",Cluster of press clippings on the board,,,medium,KEY DATE EVIDENCE: the Radio Jerusalem card is dated 28.8.1946. Masthead identifications are provisional.,,
RUH-06,WhatsApp Image 2026-08-09 at 06.18.53.jpeg,title,רוחמה במצור,Ruhama Under Siege,Exhibition title board (detail),,,high,,,
RUH-07,WhatsApp Image 2026-08-09 at 06.18.54 (1).jpeg,caption,"אנחנו: ""...למה הרסתם תנור האפיה? האין יודעים הקצינים כי אי אפשר להסתיר נשק בתנור מוסק?""","Us: ""...why did you destroy the baking oven? Do the officers not know that you cannot hide weapons in a lit oven?""",Voice-of-the-members caption card,,,high,One of a series of blue cards giving the kibbutz members' own reactions.,,
RUH-08,WhatsApp Image 2026-08-09 at 06.18.54 (2).jpeg,photo,,,"Wrecked interior: torn bedding and papers, broken furniture, roof beams pulled down",images/bw/ruhama_1946_08_bw.jpg,images/color/ruhama_1946_08_colorized.jpg,high,,images/clear/ruhama_1946_08_clear.jpg,
RUH-09,WhatsApp Image 2026-08-09 at 06.18.54 (3).jpeg,clipping-headline,"...מה ודורות – התגרות"" / ...צומתם. – מעשי ההרס בשני הישובים נמשכים","""...[Ruha]ma and Dorot - a provocation"" / the destruction in both settlements continues",Headline strip (same story as #2),,,medium,,,
RUH-10,WhatsApp Image 2026-08-09 at 06.18.54.jpeg,clipping,"""החפושים – הזמנה להרוס את רוחמה בפעם השלישית"" / מרת גולדה מאירסון במסיבה עם עתונאי־חוץ","""The searches - an invitation to destroy Ruhama for the third time"" / Mrs Golda Meyerson at a press conference with foreign journalists",Report of a Jewish Agency press conference,,,high,"Golda Meyerson (later Meir) was acting head of the Jewish Agency political department after the Black Saturday arrests. Strong, checkable anchor.",,
RUH-11,WhatsApp Image 2026-08-09 at 06.18.55 (1).jpeg,photo,,,Overturned wooden bed frame / cupboard in a ransacked room,images/bw/ruhama_1946_11_bw.jpg,images/color/ruhama_1946_11_colorized.jpg,high,,images/clear/ruhama_1946_11_clear.jpg,
